,date,day,filename,flag,id,keywords,link,month,place,publisher,year
5654,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T04:42:27+05:30->22292.txt,0,22292,[],http://timesofindia.indiatimes.com//city/mumbai/redevelopment-premium-cut-3000-housing-societies-stand-to-benefit/articleshow/62716949.cms,01,mumbai,TOI,2018
5655,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T11:54:51+05:30->1326.txt,0,1326,[],http://timesofindia.indiatimes.com//city/lucknow/ncr-to-be-electronics-manufacturing-zone/articleshow/62334426.cms,01,NA,TOI,2018
5656,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T00:56:00+05:30->22103.txt,0,22103,[],http://timesofindia.indiatimes.com//city/madurai/new-lines-and-extensions-budget-wish-list-of-rail-users/articleshow/62716373.cms,01,madurai,TOI,2018
5657,2018/01/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-01T12:26:51+05:30->511.txt,0,511,[],http://timesofindia.indiatimes.com//city/raipur/nail-biting-contest-ahead-in-assembly-polls-this-year/articleshow/62322972.cms,01,raipur,TOI,2018
5658,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T11:26:58+05:30->21939.txt,0,21939,[],http://timesofindia.indiatimes.com//tv/news/hindi/udaan-written-update-january-29-2018-chakor-fails-in-getting-suraj-on-her-side/articleshow/62705865.cms,01,NA,TOI,2018
5659,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T12:45:25+05:30->22869.txt,0,22869,[],http://timesofindia.indiatimes.com//tv/news/hindi/rithvik-dhanjani-i-feel-very-free-in-delhi-i-party-here-more-than-i-usually-do-in-mumbai/articleshow/62724183.cms,02,NA,TOI,2018
5660,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T07:29:27+05:30->20845.txt,0,20845,[],http://timesofindia.indiatimes.com//city/jaipur/development-at-the-cost-of-future/articleshow/62687054.cms,01,jaipur,TOI,2018
5661,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T13:26:57+05:30->1398.txt,0,1398,[],http://timesofindia.indiatimes.com//city/hyderabad/doctors-stir-massive-protest-against-nmc-at-osmania-medical-college/articleshow/62335675.cms,01,hyderabad,TOI,2018
5662,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T05:57:18+05:30->23030.txt,0,23030,[],http://timesofindia.indiatimes.com//city/allahabad/admission-scam-allahabad-hc-judge-stops-coming-to-court/articleshow/62732170.cms,02,allahabad,TOI,2018
5663,2018/01/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-22T08:00:41+05:30->15773.txt,0,15773,[],http://timesofindia.indiatimes.com//city/jaipur/light-combat-helicopter-trial-at-pokhran/articleshow/62598297.cms,01,jaisalmer,TOI,2018
